product_no,product_url,product_name,category,sub_category,price,fabric,fit_type,size_range,recommended_body_type,body_cover_features,style_tags,season,length_type,sleeve_type,color_options,recommended_age,coordination_items,product_summary,shoulder,chest,chest_measure_type,armhole,sleeve,sleeve_circumference,length,length_front,length_back,measurement_source,raw_measurements
27352,https://www.misharp.co.kr/product/detail.html?product_no=27352,글리터 뒤트임 뷔스티에,,,35600,폴리에스터77% 아크릴16% 금속섬유7% 혼용 소재입니다,정핏,55-66,4050 여성 일반체형,뱃살커버;허리라인보정,페미닌;데일리,봄;여름;가을,기본,긴팔,블랙;베이지,4050,슬랙스;데님;스커트,"미샵 - 글리터 뒤트임 뷔스티에 (2 color) 글리터 뒤트임 뷔스티에 (2 color) (해외배송 가능상품) ( 건) 글리터 뒤트임 뷔스티에 (2 color) 39,500원 35,600원 남은시간 2일 21:48:42 (3,900원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 350원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요",,44,circumference,,,,,,,text,"[{""가슴둘레"": ""88""}]"
28605,https://www.misharp.co.kr/product/detail.html?product_no=28605,텐션 레이스 프릴 레이어드 나시,,,25500,면65% 모달30% 스판5% 혼용률로 / 스판5% 혼용률로,슬림핏,55-66,어깨좁음;하체통통,힙커버;허리라인보정,데일리,,기본,긴팔,블랙;아이보리;그레이,4050,데님;니트,【면65+모달30+스판5/ 최강 부드러움】,35,40.5,circumference,40,,,,,,text,"[{""어깨단면"": ""35""}, {""암홀둘레"": ""40""}, {""가슴둘레"": ""81""}]"
26148,https://www.misharp.co.kr/product/detail.html?product_no=26148,N. 루인 브이 원피스 - 베이지만 진행,팬츠,데님,44600,코튼92% 스판8% 소재입니다 / 스판8% 소재입니다,슬림핏,55-77,어깨좁음;복부체형;하체통통,힙커버;허리라인보정,클래식;데일리;오피스룩;모임룩,봄;가을;겨울,기본,긴팔,베이지,4050,데님;원피스,【국내 원단/국내 공정】,38,53,circumference,49,,,,,,text,"[{""어깨단면"": ""38""}, {""암홀둘레"": ""49""}, {""가슴둘레"": ""106""}]"
26674,https://www.misharp.co.kr/product/detail.html?product_no=26674,3타입 화이트/블랙 스트레치 팬츠,팬츠,팬츠,26900,코튼97% 스판3% 혼용 소재입니다 / 스판3% 혼용 소재입니다,,55-77,복부체형;하체통통,힙커버,클래식;데일리,겨울,롱,긴팔,블랙;화이트,4050,데님,【3가지 길이 / 4가지 사이즈】,,,,,,,,,,,
27998,https://www.misharp.co.kr/product/detail.html?product_no=27998,마스 크롭 데님 자켓,아우터,자켓,41900,,세미루즈,55-66반,어깨좁음;하체통통,,클래식;데일리,봄;가을;겨울,크롭,긴팔,,4050,슬랙스;데님;스커트,"미샵 - 마스 크롭 데님 자켓 (1 color) 마스 크롭 데님 자켓 (1 color) (해외배송 가능상품) ( 건) 마스 크롭 데님 자켓 (1 color) 46,500원 41,900원 남은시간 2일 21:48:34 (4,600원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 410원 (1%) 재입고 알림 SMS 상품 옵션 옵션선택 상품 목록 상품명 상품수 가격 마스",47,59,circumference,46,54,,,,,text,"[{""어깨단면"": ""47""}, {""암홀둘레"": ""46""}, {""소매길이"": ""54""}, {""가슴둘레"": ""118""}]"
28600,https://www.misharp.co.kr/product/detail.html?product_no=28600,캐시미어 라이크 케이블 가디건 / 사이즈별,니트/가디건,가디건,26600,비스코스50% PBT28% 나일론22% 이 혼용률은 프리미엄 니트 시장에서 '캐시미어 대체 소재' 혹은 '라이크 캐시미어'로 불리며 가장 각광받는 황금 비율 중 하나입니다 / 나일론22% 이 혼용률은 프리미엄 니트 시장에서 '캐시미어 대체 소재' 혹은 '라이크 캐시미어'로 불리며 가장 각광받는 황금 비율 중 하나입니다,정핏,44-88,어깨좁음;복부체형;하체통통,허리라인보정,클래식;데일리;오피스룩,겨울,크롭,긴팔,블랙;그레이;네이비;브라운,4050,슬랙스;데님;스커트;니트,【사이즈별 제작 입고】,37,42,circumference,42,55,,,,,text,"[{""어깨단면"": ""37""}, {""암홀둘레"": ""42""}, {""소매길이"": ""55""}, {""가슴둘레"": ""84""}]"
22173,https://www.misharp.co.kr/product/detail.html?product_no=22173,스마트 데님 셔츠,팬츠,데님,46800,,,55-77,어깨좁음;팔뚝통통,팔뚝커버;허리라인보정,데일리,봄;여름;가을,기본,반팔,블랙;화이트,4050,데님,바이오 브러쉬 워싱의 부드러움,39,50,circumference,40,58.5,,,,,text,"[{""어깨단면"": ""39""}, {""암홀둘레"": ""40""}, {""소매길이"": ""58.5""}, {""가슴둘레"": ""100""}]"
28603,https://www.misharp.co.kr/product/detail.html?product_no=28603,라이트 브러시 절개 와이드 데님,팬츠,데님,56500,,,55-77,복부체형;하체통통,뱃살커버;힙커버;허리라인보정,데일리,,기본,긴팔,화이트,4050,데님;니트,"미샵 - 라이트 브러시 절개 와이드 데님 (1 color) 라이트 브러시 절개 와이드 데님 (1 color) (해외배송 가능상품) ( 건) 라이트 브러시 절개 와이드 데님 (1 color) 56,500원 560원 (1%) 재입고 알림 SMS 상품 옵션 사이즈 - [필수] 옵션을 선택해 주세요 - ------------------- S(55) M(66) L(77) 옵션선택 상품 목록 상품명 상",,,,,,,,,,,
28602,https://www.misharp.co.kr/product/detail.html?product_no=28602,포켓 포인트 A라인 롱 스커트 / 사이즈별,원피스/스커트,스커트,38300,폴리에스터95% 스판5% 혼용 소재입니다 / 스판5% 혼용 소재입니다 / 스판5% 혼용으로 구김에 강합니다,A라인,55-66반,복부체형;하체통통,뱃살커버;힙커버;허리라인보정,클래식;데일리,봄;가을;간절기,롱,긴팔,블랙;베이지,4050,데님;스커트;니트,"미샵 - 포켓 포인트 A라인 롱 스커트 (2 color) / 사이즈별 포켓 포인트 A라인 롱 스커트 (2 color) / 사이즈별 (해외배송 가능상품) ( 건) 포켓 포인트 A라인 롱 스커트 (2 color) / 사이즈별 42,500원 38,300원 남은시간 2일 21:48:27 (4,200원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 380원 (1%) 재입고 알",,,,,,,,,,,
25452,https://www.misharp.co.kr/product/detail.html?product_no=25452,분또 밴딩 맨투맨 티셔츠,블라우스/셔츠,셔츠,29500,코튼50% 폴리,,55-77,어깨좁음;복부체형,,데일리;오피스룩,봄;여름;가을,기본,긴팔,블랙;그레이,4050,슬랙스;데님,"미샵 - 분또 밴딩 맨투맨 티셔츠 (3 color) 분또 밴딩 맨투맨 티셔츠 (3 color) (해외배송 가능상품) ( 건) 분또 밴딩 맨투맨 티셔츠 (3 color) 29,500원 290원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 멜란지그레이 차콜 블랙 옵션선택 상품 목록 상품명 상품수 가격 분또 밴딩 맨투맨 티셔",45,55.5,circumference,42,53.5,,,,,text,"[{""어깨단면"": ""45""}, {""암홀둘레"": ""42""}, {""소매길이"": ""53.5""}, {""가슴둘레"": ""111""}]"
